iso3c,Country_Name,Military_Personnel,Population_Total,Military_Expenditure_Per_Capita_Current_USD,Military_Prop_of_Population_Pct,Military_Personnel_Year,Expenditure_Year
COD,"Congo, Dem. Rep.",134000,105789731,7.507766496469067,0.12666635857123032,2020,2023
COG,"Congo, Rep.",12000,6182885,46.049578543089034,0.1940841532714906,2020,2023
COL,Colombia,428000,52321152,204.52688102203484,0.8180248019003862,2020,2023
CPV,Cabo Verde,1000,522331,25.254910891013743,0.19144948318212013,2020,2023
CRI,Costa Rica,10000,5105525,0,0.19586624294269445,2020,2023
CUB,Cuba,76000,11176354,NA,0.6800070935476812,2020,NA
CYP,Cyprus,13000,1344976,421.47450247148123,0.9665599980966203,2020,2023
CZE,Czechia,27000,10864042,465.4140061362797,0.24852628515243222,2020,2023
DEU,Germany,183000,83901923,796.4851328164183,0.21811180656729406,2020,2023
DJI,Djibouti,13000,1105188,NA,1.1762704625819318,2020,NA
DNK,Denmark,15000,5946952,1369.5977707057295,0.252230049948276,2020,2023
DOM,Dominican Republic,71000,11331265,78.82311845670885,0.6265849399868417,2020,2023
DZA,Algeria,326000,46164219,395.63039002700555,0.706174624117436,2020,2023
ECU,Ecuador,42000,17980083,151.62888847621005,0.23359180266297994,2020,2023
EGY,"Egypt, Arab Rep.",836000,114535772,27.63006030093873,0.7299029686550679,2020,2023
ERI,Eritrea,202000,3291271,NA,6.1374465973783385,2020,NA
ESP,Spain,199000,48347910,490.1790069870031,0.4116000050467538,2020,2023
EST,Estonia,7000,1370286,868.0622608141878,0.5108422621263007,2020,2023
ETH,Ethiopia,138000,128691692,9.530161188026108,0.10723302946393774,2020,2023
FIN,Finland,22000,5583911,1315.9293197611191,0.3939890875767898,2020,2023
FJI,Fiji,4000,924145,78.40671916902889,0.4328325100498298,2020,2023
FRA,France,304000,68287487,897.6943438085033,0.44517672761921967,2020,2023
GAB,Gabon,7000,2484789,106.70103370651512,0.2817140610329489,2020,2023
GBR,United Kingdom,153000,68492000,1094.1838967993256,0.2233837528470478,2020,2023
GEO,Georgia,26000,3715483,135.8133738864269,0.6997744304037995,2020,2023
GHA,Ghana,16000,33787914,8.446095094584352,0.04735421073937859,2020,2023
GIN,Guinea,13000,14405468,35.01964049328887,0.09024351031150116,2020,2023
GMB,"Gambia, The",4000,2697845,5.1100035204874255,0.14826648676999607,2020,2023
GNB,Guinea-Bissau,4000,2153339,11.734320824455137,0.1857580250949804,2020,2023
GNQ,Equatorial Guinea,1000,1847549,87.70310639633645,0.05412576337623521,2020,2023
GRC,Greece,147000,10405588,742.8473512662792,1.4127024825507217,2020,2023
GTM,Guatemala,43000,18124838,23.297949802764084,0.2372434997763842,2020,2023
GUY,Guyana,3000,826353,116.42476764230783,0.3630409764350102,2020,2023
HND,Honduras,23000,10644851,50.71315601904704,0.21606690408348597,2020,2023
HRV,Croatia,20000,3859686,372.8438874292883,0.5181768672373867,2020,2023
HTI,Haiti,1000,11637398,1.0014753022155727,0.008592986164089258,2020,2023
HUN,Hungary,46000,9592186,454.06522245189257,0.47955700608808044,2020,2023
IDN,Indonesia,676000,281190067,33.71681531647894,0.24040678506613106,2020,2023
IND,India,3068000,1438069596,58.11580265147939,0.2133415523514065,2020,2023
IRL,Ireland,9000,5307600,239.12745364723793,0.16956816640289396,2020,2023
IRN,"Iran, Islamic Rep.",650000,90608707,113.48892112271727,0.7173703516153255,2020,2023
IRQ,Iraq,459000,45074049,113.333442796656,1.0183243133981594,2020,2023
ISL,Iceland,0,393349,0,0,2020,2023
ISR,Israel,178000,9849000,2792.012169443842,1.807290080211189,2020,2023
ITA,Italy,338000,58993475,602.2517543886404,0.572944719733835,2020,2023
JAM,Jamaica,6000,2839786,81.20935695788909,0.2112835262938827,2020,2023
